id|~|scan_date|~|ticker|~|scan_time_et|~|minutes_since_open|~|gap_pct|~|prev_close|~|adv|~|adv_source|~|in_active_theme|~|rank_by_prescore|~|rank_by_gap|~|shortlisted_by_prescore|~|shortlisted_by_gap|~|acting_key|~|board_n|~|created_at
137|~|2026-08-24|~|SDOT|~|2026-08-24 13:31:00.026922+00|~|1|~|64.04|~|13.18|~|19613391.074482|~|pending|~|f|~|4|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:31:04.536381+00
144|~|2026-08-24|~|SDOT|~|2026-08-24 13:40:00.063109+00|~|10|~|60.55|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|3|~|2026-08-24 13:40:05.909542+00
117|~|2026-08-24|~|SDOT|~|2026-08-24 13:15:00.065684+00|~||~|66.92|~|13.18|~|19613391.074482|~|pending|~|f|~|4|~|1|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:15:03.028907+00
112|~|2026-08-24|~|SDOT|~|2026-08-24 13:10:00.050086+00|~||~|72.38|~|13.18|~|19613391.074482|~|pending|~|f|~|4|~|1|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:10:03.134354+00
103|~|2026-08-24|~|SDOT|~|2026-08-24 13:00:00.089559+00|~||~|76.02|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:00:05.532237+00
3|~|2026-08-24|~|SDOT|~|2026-08-24 11:00:00.106847+00|~||~|50.38|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|3|~|2026-08-24 11:00:14.067943+00
87|~|2026-08-24|~|SDOT|~|2026-08-24 12:45:00.024463+00|~||~|80.96|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:45:02.433675+00
83|~|2026-08-24|~|SDOT|~|2026-08-24 12:40:00.024828+00|~||~|78.79|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:40:02.436761+00
21|~|2026-08-24|~|SDOT|~|2026-08-24 11:25:00.023042+00|~||~|71.7|~|13.18|~|19613391.074482|~|pending|~|f|~|4|~|1|~|t|~|t|~|prescore|~|5|~|2026-08-24 11:25:27.91153+00
79|~|2026-08-24|~|SDOT|~|2026-08-24 12:35:00.025773+00|~||~|77.92|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:35:02.235646+00
75|~|2026-08-24|~|SDOT|~|2026-08-24 12:30:00.034716+00|~||~|70.92|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:30:02.608618+00
71|~|2026-08-24|~|SDOT|~|2026-08-24 12:25:00.018514+00|~||~|71.32|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:25:02.985528+00
6|~|2026-08-24|~|SDOT|~|2026-08-24 11:05:00.027658+00|~||~|51.37|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|3|~|2026-08-24 11:05:01.984769+00
67|~|2026-08-24|~|SDOT|~|2026-08-24 12:20:00.032969+00|~||~|72.23|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:20:02.194415+00
17|~|2026-08-24|~|SDOT|~|2026-08-24 11:20:00.021275+00|~||~|52.73|~|13.18|~|19613391.074482|~|pending|~|f|~|4|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:20:02.330145+00
63|~|2026-08-24|~|SDOT|~|2026-08-24 12:15:00.019043+00|~||~|77.92|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:15:03.181709+00
59|~|2026-08-24|~|SDOT|~|2026-08-24 12:10:00.024705+00|~||~|76.59|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:10:02.34655+00
55|~|2026-08-24|~|SDOT|~|2026-08-24 12:05:00.027447+00|~||~|70.24|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:05:02.534044+00
51|~|2026-08-24|~|SDOT|~|2026-08-24 12:00:00.019954+00|~||~|77.01|~|13.18|~|19613391.074482|~|pending|~|f|~|4|~|1|~|t|~|t|~|prescore|~|5|~|2026-08-24 12:00:03.356108+00
13|~|2026-08-24|~|SDOT|~|2026-08-24 11:15:00.020602+00|~||~|54.72|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|3|~|2026-08-24 11:15:01.829904+00
46|~|2026-08-24|~|SDOT|~|2026-08-24 11:55:00.023419+00|~||~|79.74|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:55:02.421448+00
122|~|2026-08-24|~|SDOT|~|2026-08-24 13:20:00.055551+00|~||~|69.2|~|13.18|~|19613391.074482|~|pending|~|f|~|4|~|1|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:20:15.905817+00
37|~|2026-08-24|~|SDOT|~|2026-08-24 11:45:00.022675+00|~||~|81.88|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:45:02.251858+00
33|~|2026-08-24|~|SDOT|~|2026-08-24 11:40:00.123047+00|~||~|82.72|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:40:02.362097+00
9|~|2026-08-24|~|SDOT|~|2026-08-24 11:10:00.024761+00|~||~|55.01|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:10:02.299148+00
29|~|2026-08-24|~|SDOT|~|2026-08-24 11:35:00.032736+00|~||~|90.74|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:35:02.036479+00
25|~|2026-08-24|~|SDOT|~|2026-08-24 11:30:00.039475+00|~||~|84.4|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:30:02.775808+00
