=== CONTROL_TICK ===
scan_date|ticker|dist_sec|minutes_since_open|gap_pct|prev_close|rel_volume|today_volume|adv|market_cap|float_shares|ep_score|filter_reason
2026-07-29|AVTR|0.019691|1|13.37|12.42|0.14||10663734.245979998|||-10|score -10 < 50 (catalyst=routine)
2026-07-29|CBZ|0.019691|1|16.32|46.7|0.29||853521.529054|||10|score 10 < 50 (catalyst=routine)
2026-07-29|GEHC|1440.039657|25|10.39|64.11|0.35||5628317.564848|||27|score 27 < 50 (catalyst=routine)
2026-07-29|GFS|8459.971857||10.16|49.02|0.03||3705323.223344|||45.6|score 46 < 50 (catalyst=strong)
2026-07-29|GNRC|359.966421||10.03|195.6|0.05||1066606.9521615|||23|score 23 < 50 (catalyst=routine)
2026-07-29|GRMN|1440.039657|25|12.5|253.65|0.16||967559.9326925001|||22|score 22 < 50 (catalyst=routine)
2026-07-29|HURN|1140.049020|20|16.97|121.37|0.06||304510.48798750003||||filter:session_rvol_too_low: session_rvol=0.78x (today 18,516 / baseline 23,742 n=20) < 1.0x
2026-07-29|LFUS|0.019691|1|10.96|392.05|0||378655.5706985||||filter:session_rvol_too_low: session_rvol=0.58x (today 1,620 / baseline 2,801 n=20) < 1.0x
2026-07-29|MANH|0.019691|1|12.39|168.17|0.02||762805.6385745001|||25|score 25 < 50 (catalyst=routine)
2026-07-29|MBIN|1440.039657|25|12.77|48.77|0.17||170891.024327|||27|score 27 < 50 (catalyst=routine)
2026-07-29|NEO|0.019691|1|13.58|13.4|0||3088511.8908695||||filter:session_rvol_too_low: session_rvol=0.22x (today 7,568 / baseline 34,613 n=20) < 1.0x
2026-07-29|TER|0.019691|1|13.83|320.65|0.09||4243911.0875585005||||already scored earlier today
2026-07-29|TEVA|1140.049020|20|11.4|31.67|0.38||5211331.8804655|||50.4|
2026-07-30|ARM|0.019485|1|10.86|224.89|0.11||7647057.528174501||||outside top-20 gap cap (gap 10.9%)
2026-07-30|AVY|840.055644|15|11.79|167.14|0.03||767129.204029||||outside top-20 gap cap (gap 11.8%)
2026-07-30|BAX|0.019485|1|15.1|24.77|0.09||6522225.1271505|||5|score 5 < 50 (catalyst=routine)
2026-07-30|BDC|1440.059027|25|10.49|102.03|0.05||603402.049731||||outside top-20 gap cap (gap 10.5%)
2026-07-30|CORT|0.019485|1|15.18|92.95|0.06||1145703.833513||||already scored earlier today
2026-07-30|EFOR|1140.045916|20|16.74|23.41|0.07||1106672.718377|||43|score 43 < 50 (catalyst=routine)
2026-07-30|EME|0.019485|1|13.59|672.48|0.01||458143.1843505||||filter:session_rvol_too_low: session_rvol=0.71x (today 4,319 / baseline 6,057 n=21) < 1.0x
2026-07-30|FORM|0.019485|1|21.03|83.45|0.01||1694367.7375495||||filter:session_rvol_too_low: session_rvol=0.64x (today 20,926 / baseline 32,958 n=21) < 1.0x
2026-07-30|FTNT|0.019485|1|10.79|153.22|0.02||5578109.670519||||outside top-20 gap cap (gap 10.8%)
2026-07-30|GKOS|0.019485|1|10.73|161.66|0.02||771227.1959124999||||outside top-20 gap cap (gap 10.7%)
2026-07-30|HII|0.019485|1|11.45|280.4|0.02||490281.431077|||28|score 28 < 50 (catalyst=routine)
2026-07-30|LRCX|0.019485|1|14.33|252.35|0.02||14378130.6073985||||filter:session_rvol_too_low: session_rvol=0.83x (today 284,631 / baseline 341,750 n=21) < 1.0x
2026-07-30|MKTX|0.019485|1|29.79|125.73|0.7||657091.6281035|||30|score 30 < 50 (catalyst=routine)
2026-07-30|NPKI|3659.977580||11.95|12.05|0||1200552.043369|||15|score 15 < 50 (catalyst=routine)
2026-07-30|PRCH|0.019485|1|23.3|12.36|0.03||1922115.3834235|||25|score 25 < 50 (catalyst=routine)
2026-07-30|PWR|0.019485|1|12.28|561.14|0.03||1206900.073026||||already scored earlier today
