ticker	d	scan_n	reasons	max_score
CDRE	2026-08-06	2	score 30 < 50 (catalyst=routine) ;; score 42 < 50 (catalyst=routine)	42
FET	2026-08-06	15	EP cooldown — alerted within last 60 days	""
INSM	2026-08-06	32	already scored earlier today ;; <none>	96
LFST	2026-08-06	8	already scored earlier today ;; filter:pm_rvol_too_low: pm_rvol=0.61x (today 1,179 / baseline 1,946 n=10) < 1.0x ;; <none> ;; pre-mkt volume 3,572 < 25,000 shares ;; pre-mkt volume 5,852 < 25,000 shares ;; pre-mkt volume 5,952 < 25,000 shares	96
OEC	2026-08-06	0	""	""
OESX	2026-08-06	0	""	""
PKOH	2026-08-06	0	""	""
PN	2026-08-06	8	quality filter: filter:adv_too_low: $556,166	""
RCUS	2026-08-06	0	""	""
SBGI	2026-08-06	0	""	""
SDGR	2026-08-06	1	outside top-20 gap cap (gap 10.9%)	""
SGHT	2026-08-06	2	quality filter: filter:adv_too_low: $708,148	""
TRUP	2026-08-06	3	already scored earlier today ;; filter:session_rvol_too_low: session_rvol=0.28x (today 3,866 / baseline 13,786 n=19) < 1.0x ;; <none>	60
U	2026-08-06	25	already scored earlier today ;; <none>	96
WPP	2026-08-06	34	score 30 < 50 (catalyst=routine) ;; score 48 < 50 (catalyst=routine)	48
ZVRA	2026-08-06	2	outside top-20 gap cap (gap 12.6%) ;; outside top-20 gap cap (gap 12.8%)	""
ACET	2026-08-07	0	""	""
AIRJ	2026-08-07	0	""	""
ALOY	2026-08-07	0	""	""
BAND	2026-08-07	0	""	""
CARS	2026-08-07	0	""	""
CENX	2026-08-07	2	outside top-20 gap cap (gap 11.5%) ;; outside top-20 gap cap (gap 11.9%)	""
CON	2026-08-07	0	""	""
FRD	2026-08-07	24	outside top-20 gap cap (gap 14.0%) ;; quality filter: filter:mcap_too_small: $272M < $500M	""
GRDN	2026-08-07	1	outside top-20 gap cap (gap 12.7%)	""
HALO	2026-08-07	1	outside top-20 gap cap (gap 11.5%)	""
HBB	2026-08-07	2	outside top-20 gap cap (gap 14.0%) ;; quality filter: filter:adv_too_low: $631,709	""
ICUI	2026-08-07	2	outside top-20 gap cap (gap 10.1%) ;; outside top-20 gap cap (gap 12.8%)	""
KRT	2026-08-07	2	outside top-20 gap cap (gap 12.3%) ;; outside top-20 gap cap (gap 15.1%)	""
