ticker|d|t_ms|o|h|l|c|v
ARM|2026-05-21|1779378840000|287.395|288.47|287.29|288.47|73528
ARM|2026-05-21|1779378900000|288.4|288.5|287.57|288.05|64060
ARM|2026-05-21|1779378960000|287.88|288.26|287.5801|288.072|41956
ARM|2026-05-21|1779379020000|287.99|288.26|287.48|287.59|63300
ARM|2026-05-21|1779379080000|287.66|287.89|287.26|287.8899|35594
ARM|2026-05-21|1779379140000|287.6847|287.81|287.13|287.215|40162
ARM|2026-05-21|1779379200000|287.3|287.6299|287.01|287.135|48274
ARM|2026-05-21|1779379260000|287.25|287.25|286.6101|286.79|26469
ARM|2026-05-21|1779379320000|286.71|287.12|285.93|286.2393|33706
ARM|2026-05-21|1779379380000|286.085|287.4119|285.93|286.7901|39599
ARM|2026-05-21|1779379440000|287.29|287.55|286.8|287.55|34662
ARM|2026-05-21|1779379500000|287.64|287.678|287.1301|287.5799|26351
ARM|2026-05-21|1779379560000|287.495|288.1999|287.3535|288.19|30930
ARM|2026-05-21|1779379620000|288.09|288.32|287.86|288.1731|42387
ARM|2026-05-21|1779379680000|288.1|288.36|288.0703|288.185|31458
ARM|2026-05-21|1779379740000|288.21|288.608|287.88|288.5728|42040
ARM|2026-05-21|1779379800000|288.6|289.38|288.46|289.0501|56476
ARM|2026-05-21|1779379860000|289.05|289.3599|288.76|289|49035
ARM|2026-05-21|1779379920000|289.0001|289.03|288.5|288.75|34312
ARM|2026-05-21|1779379980000|288.75|288.9894|287.0401|287.62|44230
ARM|2026-05-21|1779380040000|287.76|288.325|287.5479|288.285|40455
ARM|2026-05-21|1779380100000|288.3031|288.3031|287.35|287.45|113063
ARM|2026-05-21|1779380160000|287.465|287.539|287.0501|287.39|30749
ARM|2026-05-21|1779380220000|287.27|288.3699|287.05|288.09|27532
ARM|2026-05-21|1779380280000|288.09|288.09|286.7001|287.1999|26392
ARM|2026-05-21|1779380340000|287|287.04|286.71|287.04|28560
ARM|2026-05-21|1779380400000|287.035|287.5599|286.8301|286.945|21407
ARM|2026-05-21|1779380460000|286.89|287.4|286.8001|287.29|15451
ARM|2026-05-21|1779380520000|287.32|287.8|286.86|286.865|24125
ARM|2026-05-21|1779380580000|286.87|287.5499|286.773|287.16|16233
ARM|2026-05-21|1779380640000|287.16|287.3799|287.08|287.3791|9436
ARM|2026-05-21|1779380700000|287.2|287.51|287|287.51|14652
ARM|2026-05-21|1779380760000|287.6|287.6854|287.31|287.4|12346
ARM|2026-05-21|1779380820000|287.495|287.7|287.32|287.47|11810
ARM|2026-05-21|1779380880000|287.55|288.15|287.55|287.85|38570
ARM|2026-05-21|1779380940000|287.79|288|287.36|287.67|13846
ARM|2026-05-21|1779381000000|287.65|288.2499|287.555|288.02|37092
ARM|2026-05-21|1779381060000|288.015|288.1999|287.73|287.87|18075
ARM|2026-05-21|1779381120000|287.9|287.95|287.557|287.9406|10234
ARM|2026-05-21|1779381180000|287.88|288.2|287.78|287.82|19577
ARM|2026-05-21|1779381240000|287.78|287.96|286.51|287.1|50468
ARM|2026-05-21|1779381300000|287.04|287.9|286.93|287.82|21068
ARM|2026-05-21|1779381360000|287.67|287.9|287.38|287.41|19203
ARM|2026-05-21|1779381420000|287.25|287.69|287.0628|287.5|15651
ARM|2026-05-21|1779381480000|287.32|287.48|286.64|286.7301|13988
ARM|2026-05-21|1779381540000|286.865|287.21|286.73|287.21|13619
ARM|2026-05-21|1779381600000|287.095|287.94|287.095|287.3|18261
ARM|2026-05-21|1779381660000|287.25|287.84|286.9601|287.52|17930
ARM|2026-05-21|1779381720000|287.67|287.89|287.66|287.81|9887
ARM|2026-05-21|1779381780000|287.74|288.0994|287.54|287.91|21172
ARM|2026-05-21|1779381840000|287.905|288.0998|287.74|287.775|18787
ARM|2026-05-21|1779381900000|287.89|288.6|287.7964|288.245|28660
ARM|2026-05-21|1779381960000|288.215|288.47|288.03|288.27|15291
ARM|2026-05-21|1779382020000|288.27|288.27|287.85|288|11072
