cohort	ticker	scan_date	max_gap	prev_close	n_min_bars	has_930	artifact	art_reason	status_0931	reason_0931	entered_0931	entry_px_0931	stop_0931	target_0931	realized_r_0931	mark_r_0931	final_0931	partial_0931	status_0936	reason_0936	entered_0936	entry_px_0936	stop_0936	target_0936	realized_r_0936	mark_r_0936	final_0936	partial_0936
control	USAS	2026-06-15	13.06	5.28	380	True	False		settled		True	5.85	5.585	6.119999999999999	0.33962264150943383		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		5.585					False
control	WDC	2026-06-15	13.22	562.925	390	True	False		settled		True	623.9	600.1	647.6999999999999	0.3333333333333333		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		600.1					False
control	XE	2026-06-15	17.64	18.59	390	True	False		settled		True	21.21	18.369999999999997	24.050000000000004	0.14788732394366114		sma_trail_stop	False	no_entry	triggered_above_limit_never_filled	False		18.369999999999997					False
control	PURR	2026-06-16	14.67	9.34	390	True	False		settled		True	10.42	10.139999999999999	10.700000000000001	0.3333333333333333		stop_hit	True	settled		True	10.47	10.139999999999999	10.850000000000003	0.38383838383838426		stop_hit	True
control	RXT	2026-06-16	17.5	5.915	1	True	False		abstain	entry_window_gaps:29_of_29	False		6.0600000000000005					False	abstain	entry_window_gaps:24_of_24	False		6.0600000000000005					False
control	WDC	2026-06-16	10.58	653.53	390	True	False		settled		True	696.925	673.075	720.7749999999999	0.33333333333333337		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		673.075					False
control	ACMR	2026-06-17	13.18	91.18	360	True	False		settled		True	100.7	96.04	105.36	-1.0		stop_hit	False	settled		True	101.2	96.04	106.86	-1.0		stop_hit	False
control	AEHR	2026-06-17	15.87	104.83	375	True	False		settled		True	116.5	112.41	120.59	0.3333333333333333		stop_hit	True	settled		True	117.08	112.41	122.33	-1.0		stop_hit	False
control	JBL	2026-06-17	10.77	375.51	1	True	False		abstain	entry_window_gaps:29_of_29	False		402.43999999999994					False	abstain	entry_window_gaps:24_of_24	False		402.43999999999994					False
control	LZB	2026-06-17	26.5	35.06	370	True	False		settled		True	42.49	41.71	43.27	0.3333333333333333		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		41.71					False
control	QURE	2026-06-17	75.2	26.99	1	True	False		abstain	entry_window_gaps:29_of_29	False		40.38					False	abstain	entry_window_gaps:24_of_24	False		40.38					False
control	BFLY	2026-06-18	32.92	5.71	390	True	False		settled		True	7.3	7.111199999999999	7.4988	0.35098870056497133		stop_hit	True	settled		True	7.33	7.111199999999999	7.588800000000001	0.39427178549664826		stop_hit	True
control	CHRN	2026-06-18	12.91	20.61	289	True	False		settled		True	22.0	21.0	23.0	0.3333333333333333		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		21.0					False
control	SWBI	2026-06-18	15.59	13.73	1	True	False		abstain	entry_window_gaps:29_of_29	False		15.170000000000002					False	abstain	entry_window_gaps:24_of_24	False		15.170000000000002					False
control	UUUU	2026-06-18	12.36	15.3	1	True	False		abstain	entry_window_gaps:29_of_29	False		16.56					False	abstain	entry_window_gaps:24_of_24	False		16.56					False
control	WDC	2026-06-18	11.41	712.13	390	True	False		settled		True	782.0	744.0	820.0	-1.0		stop_hit	False	settled		True	785.91	744.0	831.7299999999999	-1.0		stop_hit	False
control	BWIN	2026-06-22	23.02	20.24	390	True	False		settled		True	23.77	21.529999999999998	26.01	1.1312499999999994		stop_hit	True	settled		True	23.77	21.529999999999998	26.01	1.1312499999999994		stop_hit	True
control	DFTX	2026-06-22	14.38	24.48	1	True	False		abstain	entry_window_gaps:29_of_29	False		35.28					False	abstain	entry_window_gaps:24_of_24	False		35.28					False
control	FRVO	2026-06-22	13.11	35.09	379	True	False		settled		True	38.8899	36.810100000000006	40.96969999999999	-1.0		stop_hit	False	settled		True	38.8899	36.810100000000006	40.96969999999999	0.3333333333333333		stop_hit	True
control	JBIO	2026-06-22	10.11	16.82	348	True	False		settled		True	18.32	17.549999999999997	19.160000000000004	0.3636363636363636		stop_hit	True	settled		True	18.32	17.549999999999997	19.160000000000004	2.081385281385273		stop_hit	True
control	KEEL	2026-06-22	12.89	6.29	390	True	False		settled		True	7.01	6.23	7.789999999999999	-1.0769230769230775		stop_hit	False	settled		True	7.05	6.23	7.909999999999999	-1.0731707317073178		stop_hit	False
control	MLTX	2026-06-22	19.1	19.21	1	True	False		abstain	entry_window_gaps:29_of_29	False		19.475					False	abstain	entry_window_gaps:24_of_24	False		19.475					False
control	NUAI	2026-06-22	13.12	6.25	390	True	False		settled		True	7.0	6.220000000000001	7.779999999999999	-1.0512820512820524		stop_hit	False	settled		True	7.03	6.220000000000001	7.87	-1.0493827160493838		stop_hit	False
control	PENG	2026-06-22	14.5	67.15	390	True	False		no_entry	never_crossed_orb_high	False		74.46000000000001					False	no_entry	never_crossed_orb_high	False		74.46000000000001					False
control	SYRE	2026-06-22	12.35	88.34	1	True	False		abstain	entry_window_gaps:29_of_29	False		91.82					False	abstain	entry_window_gaps:24_of_24	False		91.82					False
